P;Attribute (sl);Value (sl);Code (sl);Attribute (en);Value (en);Code (en)
0;besedna_vrsta;veznik;V;CATEGORY;Conjunction;C
1;vrsta;priredni;p;Type;coordinating;c
;;podredni;d;;subordinating;s
