P;Attribute (sl);Value (sl);Code (sl);Attribute (en);Value (en);Code (en)
0;besedna_vrsta;neuvrščeno;N;CATEGORY;Residual;X
1;vrsta;tujejezično;j;Type;foreign;f
;;tipkarska;t;;typo;t
;;splet;w;;web;w
;;emo;e;;emo;e
;;ključnik;h;;hashtag;h
;;afna;a;;at;a
;;program;p;;program;p
