P;Attribute (sl);Value (sl);Code (sl);Attribute (en);Value (en);Code (en)
0;besedna_vrsta;prislov;R;CATEGORY;Adverb;R
1;vrsta;splošni;s;Type;general;g
;;deležje;d;;participle;r
2;stopnja;nedoločeno;n;Degree;positive;p
;;primernik;r;;comparative;c
;;presežnik;s;;superlative;s
